year,state,fertility_rate,party_fct,Female,Male,pct
2009,RI,52.81,Dem,740.19,1057.69,0.6998175268746041
2009,SC,65.29,Rep,600,816.32,0.7350058800470404
2009,SD,78.59,Rep,580.32,769,0.7546423927178154
2009,TN,64.48,Rep,576.92,864,0.6677314814814814
2009,TX,76.13,Rep,620,923.07,0.6716717042044482
2009,UT,90.41,Rep,615.19,868.8,0.7080916206261512
2009,VT,51.23,Dem,700.45,923.07,0.7588265245322673
2009,VA,63.71,Dem,733.875,1053.5,0.6966065495965829
2009,WA,66.05,Dem,800,1153,0.6938421509106678
2009,WV,61.92,Rep,596.075,848.075,0.7028564690622882
2009,WI,64.17,Dem,692.3,961,0.7203954214360041
2009,WY,74.07,Rep,630,1038.46,0.6066675654334303
2010,AL,61.82,Rep,600,771.615,0.7775898602282226
2010,AK,78.53,Rep,730,1000,0.73
2010,AZ,67.29,Rep,700,826.08,0.8473755568467944
2010,AR,67.83,Rep,558.4,648,0.8617283950617284
2010,CA,63.42,Dem,805.5,1013.345,0.7948921640704795
2010,CO,62.65,Dem,736.53,961.53,0.7659979407818789
2010,CT,54.29,Dem,865,1153,0.7502168256721596
2010,DE,62.92,Dem,750,865.38,0.8666712889135408
2010,DC,55.97,Dem,1038.46,1250,0.8307680000000001
2010,FL,59.64,Rep,680,855,0.7953216374269005
2010,GA,63.78,Rep,646.15,865.38,0.7466662044419792
2010,HI,71.91,Dem,711,880,0.8079545454545455
2010,ID,72.26,Rep,595.575,800,0.74446875
2010,IL,61.51,Dem,700,961.53,0.7280064064563768
2010,IN,65.02,Rep,600,800,0.75
2010,IA,66.08,Neutral,635.6,800,0.7945
2010,KS,71.22,Rep,604.28,797.64,0.757584875382378
2010,KY,64.72,Rep,595.375,769.23,0.773988273988274
2010,LA,66.4,Rep,576.92,852.5,0.6767390029325513
2010,ME,53.11,Dem,630,807,0.7806691449814126
2010,MD,61.29,Dem,816.845,1017.19,0.8030407298538129
2010,MA,54.32,Dem,869.56,1057,0.8226679280983916
2010,MI,59.85,Dem,680,865.38,0.7857819686149438
2010,MN,65.51,Dem,769.23,950,0.8097157894736843
2010,MS,66.04,Rep,560,720.5,0.7772380291464261
2010,MO,64.79,Rep,615,826.46,0.7441376473150545
2010,MT,66.7,Rep,540,742.4,0.7273706896551725
2010,NE,72,Rep,634,810.765,0.7819775150629344
2010,NV,64.25,Dem,667.6,807.69,0.8265547425373596
2010,NH,51.94,Dem,768.96,961.53,0.7997254375838508
2010,NJ,61.33,Dem,875,1153.84,0.7583373777993483
2010,NM,68.22,Dem,626.8,838.4549999999999,0.747565462666452
2010,NY,59.84,Dem,778.2,1000,0.7782
2010,NC,61.48,Rep,653.84,789.23,0.8284530491745119
2010,ND,72.36,Rep,600,765.265,0.7840421291970755
2010,OH,62.1,Rep,651.3,840,0.7753571428571429
2010,OK,70.37,Rep,600,769.23,0.78000078000078
2010,OR,59.44,Dem,673.07,900,0.7478555555555556
2010,PA,58.84,Dem,673.07,846,0.7955910165484634
2010,RI,51.54,Dem,750,1000,0.75
2010,SC,61.82,Rep,596.15,769,0.7752275682704811
2010,SD,77.1,Rep,597.4749999999999,738.46,0.8090824147550306
2010,TN,62.31,Rep,576.96,750,0.7692800000000001
2010,TX,69.81,Rep,640,807.69,0.792383216332999
2010,UT,83.61,Rep,640,857,0.7467911318553092
2010,VT,51.79,Dem,692.3,807.69,0.8571357822927111
2010,VA,61.88,Dem,750,1000,0.75
2010,WA,63.65,Dem,769.23,1000,0.76923
2010,WV,60.71,Rep,566,846.15,0.6689121314187791
2010,WI,62.01,Dem,692.3,846.15,0.8181764462565738
2010,WY,69.09,Rep,623.5350000000001,917.6,0.679528116826504
2011,AL,62.51,Rep,600,769.23,0.78000078000078
2011,AK,80.09,Rep,769.23,1040,0.7396442307692308
2011,AZ,69.29,Rep,764.14,850,0.8989882352941176
2011,AR,67.68,Rep,582,720,0.8083333333333333
2011,CA,64.77,Dem,840,1000,0.84
2011,CO,64.73,Dem,769.23,1000,0.76923
2011,CT,54.55,Dem,900,1153.84,0.7800041600221869
2011,DE,63.4,Dem,760,942.3,0.80653719622201
2011,DC,56.46,Dem,1038,1250,0.8304
2011,FL,60.26,Rep,699,862,0.8109048723897911
2011,GA,64.61,Rep,660,872.5,0.7564469914040115
2011,HI,72.44,Dem,720,932.5350000000001,0.7720889832553202
2011,ID,75.74,Rep,600,800,0.75
2011,IL,62.77,Dem,729,961.53,0.7581666718667125
2011,IN,65.2,Rep,615.38,843,0.729988137603796
2011,IA,67.14,Neutral,666,819.225,0.8129634715737435
2011,KS,73.3,Rep,646.275,832,0.7767728365384615
2011,KY,65.26,Rep,608,769,0.7906371911573472
2011,LA,67.19,Rep,597.4,884,0.6757918552036198
2011,ME,53.61,Dem,640,800,0.8
2011,MD,61.84,Dem,865,1057,0.8183538315988647
2011,MA,53.95,Dem,865,1134.3049999999998,0.7625814926320523
2011,MI,59.7,Dem,692.3,918,0.7541394335511982
2011,MN,65.61,Dem,760.2,954.5,0.7964379256155055
2011,MS,66.28,Rep,576.92,742.5,0.7769966329966329
2011,MO,65.23,Rep,640,856.8,0.7469654528478058
2011,MT,67.12,Rep,572.9549999999999,740,0.7742635135135134
2011,NE,73,Rep,663.2,830.76,0.7983051663537003
2011,NV,65.34,Dem,700,812,0.8620689655172413
2011,NH,51.47,Dem,760,961.53,0.7904069555812091
2011,NJ,61.51,Dem,884.61,1153.84,0.7666660888858075
2011,NM,69.87,Dem,673.07,821.5,0.8193183201460743
2011,NY,60.37,Dem,807.69,961.53,0.8400049920439301
2011,NC,62.76,Rep,650,800,0.8125
2011,ND,70.5,Rep,634.61,807.69,0.7857098639329445
2011,OH,62.24,Rep,680,807.69,0.8419071673538114
2011,OK,72.27,Rep,600,800,0.75
2011,OR,60.39,Dem,720,923,0.7800650054171181
2011,PA,58.68,Dem,700,860,0.813953488372093
2011,RI,52.07,Dem,800,1000,0.8
2011,SC,62.85,Rep,580,742.23,0.7814289371219164
2011,SD,77.52,Rep,603.36,756.0550000000001,0.7980371798348004
2011,TN,62.38,Rep,598.075,730.76,0.818428759100115
2011,TX,72.49,Rep,653.84,807,0.8102106567534078
2011,UT,86.79,Rep,649,870.75,0.7453344817685903
2011,VT,52.6,Dem,700,826.92,0.8465147777294055
2011,VA,62.32,Dem,769.23,995,0.7730954773869347
2011,WA,63.83,Dem,769.23,1040,0.7396442307692308
2011,WV,59.86,Rep,597.69,807.69,0.7399992571407347
2011,WI,62.4,Dem,695.02,855,0.8128888888888889
2011,WY,70.87,Rep,650,942.3,0.6898015494004033
2012,AL,60.95,Rep,640,850,0.7529411764705882
2012,AK,75.94,Rep,769.23,1104.8,0.69626176683562635
2012,AZ,67.48,Rep,738.46,844,0.8749526066350711
2012,AR,66.96,Rep,600,734.5,0.8168822328114363
2012,CA,63.29,Dem,846,1038.46,0.814667873582035
2012,CO,62.05,Dem,769.23,1000,0.76923
2012,CT,53.21,Dem,880,1182,0.7445008460236887
2012,DE,61.4,Dem,760,961.53,0.7904069555812091
2012,DC,55.27,Dem,1153.84,1303.845,0.8849518155915771
2012,FL,59,Rep,729,880,0.8284090909090909
2012,GA,62.38,Rep,673.07,899.0350000000001,0.7486582836040866
2012,HI,71.61,Dem,711.53,920,0.7734021739130434
2012,ID,74.11,Rep,645,807.595,0.7986676490072375
2012,IL,60.91,Dem,738.46,961.53,0.7680051584453944
2012,IN,64.69,Rep,640,865,0.7398843930635838
2012,IA,66.76,Neutral,673.07,853.5,0.7885998828353837
2012,KS,72.31,Rep,653.84,876,0.7463926940639269
2012,KY,65.45,Rep,600,758.82,0.790701352099312
2012,LA,67.01,Rep,576.92,812.5,0.7100553846153845
2012,ME,53.95,Dem,659.5,819.115,0.8051372517900417
2012,MD,60.81,Dem,865.38,1064.7649999999999,0.8127427178767147
